ID_PARTICIPANTE,TASK_NUMBER,TIME_OF_EVENT,TASK_CLICK_NUMBER,EVENT
2,3,738587.17:32:06.2799046,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
2,4,738587.17:32:24.8981750,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
2,4,738587.17:32:25.7216743,2,Open: 270
2,4,738587.17:32:48.1212748,3,Open: 290
2,4,738587.17:32:58.9073437,4,PersonalInfo/GeneralStationInfo/TitleBar/Buttons/CloseButtoon
2,4,738587.17:33:03.4527839,5,Open: 290
2,4,738587.17:33:10.8314554,6,PersonalInfo/GeneralStationInfo/Buttons/KPIsButton
2,4,738587.17:33:17.7003287,7,PersonalInfo/KPIsMain/Buttons/OEEButton
2,4,738587.17:33:26.8292798,8,PersonalInfo/KPIsSpecific/ShiftNumberSlider
2,4,738587.17:33:33.8245374,9,Open: 290
2,4,738587.17:33:37.3502028,10,PersonalInfo/GeneralStationInfo/TitleBar/Buttons/CloseButtoon
2,5,738587.17:33:40.6439651,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
2,5,738587.17:33:50.6762299,2,Open: 290
2,5,738587.17:33:53.5152622,3,PersonalInfo/GeneralStationInfo/TitleBar/Buttons/CloseButtoon
2,5,738587.17:33:56.5762285,4,Open: 260
2,5,738587.17:34:05.2465904,5,PersonalInfo/GeneralStationInfo/Buttons/KPIsButton
2,5,738587.17:34:06.5834405,6,PersonalInfo/KPIsMain/Buttons/PartCountButton
2,5,738587.17:34:39.0226544,7,PersonalInfo/KPIsSpecific/TitleBar/Buttons/CloseButton
2,6,738587.17:34:44.7778532,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
3,2,738588.09:52:17.8448715,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
3,2,738588.09:52:32.1919961,2,Open: 260
3,2,738588.09:52:33.8014055,3,PersonalInfo/GeneralStationInfo/Buttons/KPIsButton
3,3,738588.09:52:46.0267455,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
3,4,738588.09:53:01.9454599,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
3,4,738588.09:53:09.3972621,2,Open: 290
3,4,738588.09:53:26.9891922,3,PersonalInfo/GeneralStationInfo/TitleBar/Buttons/CloseButtoon
3,4,738588.09:53:35.9275390,4,Open: 290
3,4,738588.09:53:46.8945041,5,PersonalInfo/GeneralStationInfo/Buttons/KPIsButton
3,4,738588.09:53:48.8010749,6,PersonalInfo/KPIsMain/Buttons/OEEButton
3,4,738588.09:53:52.3397400,7,PersonalInfo/KPIsSpecific/ShiftNumberSlider
3,4,738588.09:53:52.9542932,8,PersonalInfo/KPIsSpecific/ShiftNumberSlider
3,4,738588.09:53:53.1685545,9,PersonalInfo/KPIsSpecific/ShiftNumberSlider
3,4,738588.09:53:54.3535294,10,PersonalInfo/KPIsSpecific/ShiftNumberSlider
3,4,738588.09:53:56.2528626,11,PersonalInfo/KPIsSpecific/ShiftNumberSlider
3,4,738588.09:53:58.9401110,12,PersonalInfo/KPIsSpecific/ShiftNumberSlider
3,4,738588.09:54:03.1069334,13,PersonalInfo/KPIsSpecific/ShiftNumberSlider
3,4,738588.09:54:08.1705919,14,PersonalInfo/KPIsSpecific/ShiftNumberSlider
3,4,738588.09:54:42.2874579,15,PersonalInfo/KPIsSpecific/ShiftNumberSlider
3,4,738588.09:54:44.2042442,16,PersonalInfo/KPIsSpecific/ShiftNumberSlider
3,4,738588.09:54:45.9178969,17,PersonalInfo/KPIsSpecific/ShiftNumberSlider
3,5,738588.09:55:09.7515508,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
3,5,738588.09:55:38.1073599,2,PersonalInfo/KPIsSpecific/TitleBar/Buttons/CloseButton
3,5,738588.09:55:43.4068287,3,Open: 260
3,5,738588.09:55:47.5954657,4,PersonalInfo/GeneralStationInfo/Buttons/KPIsButton
3,5,738588.09:55:48.4809629,5,PersonalInfo/KPIsMain/Buttons/PartCountButton
3,5,738588.09:55:54.8718353,6,PersonalInfo/KPIsSpecific/ShiftNumberSlider
3,5,738588.09:55:57.4870076,7,PersonalInfo/KPIsSpecific/ShiftNumberSlider
3,6,738588.09:56:17.3571041,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
3,6,738588.09:56:19.9388786,2,PersonalInfo/KPIsSpecific/TitleBar/Buttons/CloseButton
3,6,738588.09:57:05.2268688,3,Open: 290
3,6,738588.09:57:11.3579679,4,PersonalInfo/GeneralStationInfo/TitleBar/Buttons/CloseButtoon
3,6,738588.09:57:13.9630730,5,Open: 260
3,6,738588.09:57:22.8089117,6,PersonalInfo/GeneralStationInfo/TitleBar/Buttons/CloseButtoon
3,6,738588.09:57:26.8056347,7,Open: 260
3,6,738588.09:57:34.4726734,8,PersonalInfo/GeneralStationInfo/TitleBar/Buttons/CloseButtoon
3,6,738588.09:57:48.3391531,9,Open: 260
3,6,738588.09:57:58.2902462,10,PersonalInfo/GeneralStationInfo/TitleBar/Buttons/CloseButtoon
3,6,738588.09:58:01.1056456,11,Open: 260
4,1,738588.11:42:37.9758622,1,Open: 260
4,1,738588.11:42:39.8112032,2,PersonalInfo/GeneralStationInfo/Buttons/CycleTimesButton
4,1,738588.11:42:43.0867620,3,PersonalInfo/CycleTimesMain/TitleBar/Buttons/BackButton
4,1,738588.11:42:44.4641057,4,PersonalInfo/GeneralStationInfo/TitleBar/Buttons/CloseButtoon
4,1,738588.11:42:50.1660604,5,Open: 270
4,1,738588.11:42:51.3835526,6,PersonalInfo/GeneralStationInfo/Buttons/CycleTimesButton
4,1,738588.11:42:58.9090453,7,PersonalInfo/CycleTimesMain/TitleBar/Buttons/CloseButton
4,2,738588.11:43:01.2508731,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
4,2,738588.11:43:10.0383717,2,Open: 260
4,2,738588.11:43:12.0928811,3,PersonalInfo/GeneralStationInfo/Buttons/KPIsButton
4,2,738588.11:43:25.3343729,4,PersonalInfo/KPIsMain/TitleBar/Buttons/CloseButton
4,3,738588.11:43:31.8173813,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
4,4,738588.11:43:44.1356684,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
4,4,738588.11:43:55.1944441,2,HandMenu/LineMonitoringMenu/FilterButton
4,4,738588.11:44:01.3328172,3,HandMenu/LineMonitoringMenu/FilterButtonCollection/KPIsButton
4,4,738588.11:44:06.1344524,4,Open: 290
4,4,738588.11:44:09.3135431,5,PersonalInfo/KPIsMain/Buttons/OEEButton
4,4,738588.11:44:15.7330685,6,PersonalInfo/KPIsSpecific/ShiftNumberSlider
4,5,738588.11:44:28.6743764,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
4,5,738588.11:44:38.8181316,2,PersonalInfo/KPIsSpecific/TitleBar/Buttons/CloseButton
4,5,738588.11:44:41.4699549,3,Open: 260
4,5,738588.11:44:41.5124539,4,Open: 260
4,5,738588.11:44:41.5594464,5,Open: 260
4,5,738588.11:44:48.9389657,6,PersonalInfo/KPIsMain/Buttons/PartCountButton
4,5,738588.11:44:55.7107316,7,PersonalInfo/KPIsSpecific/ShiftNumberSlider
4,6,738588.11:45:13.1683493,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
4,7,738588.11:45:14.9750862,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
4,7,738588.11:45:17.0495850,2,HandMenu/LineMonitoringMenu/FilterButtonCollection/AllButton
4,7,738588.11:45:26.3730124,3,HandMenu/LineMonitoringMenu/FilterButtonCollection/BottleneckButton
4,7,738588.11:46:13.8687521,4,PersonalInfo/KPIsSpecific/TitleBar/Buttons/CloseButton
4,7,738588.11:46:20.8557988,5,HandMenu/LineMonitoringMenu/FilterButtonCollection/BottleneckButton
4,7,738588.11:46:23.1397886,6,HandMenu/LineMonitoringMenu/FilterButtonCollection/BottleneckButton
4,7,738588.11:46:32.0780384,7,HandMenu/LineMonitoringMenu/FilterButtonCollection/CycleTimeButton
4,7,738588.11:46:39.7222368,8,HandMenu/LineMonitoringMenu/FilterButtonCollection/KPIsButton
4,7,738588.11:46:46.8286189,9,HandMenu/LineMonitoringMenu/FilterButtonCollection/CycleTimeButton
4,7,738588.11:46:48.8609533,10,HandMenu/LineMonitoringMenu/FilterButtonCollection/KPIsButton
4,7,738588.11:46:51.2204527,11,HandMenu/LineMonitoringMenu/FilterButtonCollection/CycleTimeButton
4,7,738588.11:46:51.8564539,12,Open: 270
4,7,738588.11:46:54.5624545,13,PersonalInfo/CycleTimesMain/TitleBar/Buttons/CloseButton
4,7,738588.11:46:55.1149527,14,Open: 270
4,7,738588.11:46:56.7521271,15,HandMenu/LineMonitoringMenu/OverviewButton
4,7,738588.11:47:03.6436370,16,PersonalInfo/StationsOverview/TitleBar/Buttons/FollowMeButton
4,7,738588.11:47:09.4405647,17,HandMenu/LineMonitoringMenu/BackButton
5,2,738588.11:27:04.9118127,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
5,2,738588.11:27:27.2871960,2,Open: 260
5,2,738588.11:27:31.7264210,3,PersonalInfo/GeneralStationInfo/Buttons/KPIsButton
5,3,738588.11:27:55.3967709,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
5,3,738588.11:28:02.4317581,2,PersonalInfo/KPIsMain/TitleBar/Buttons/CloseButton
5,3,738588.11:28:10.7482205,3,Open: 270
5,4,738588.11:28:17.3142338,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
5,4,738588.11:28:28.2677369,2,PersonalInfo/GeneralStationInfo/Buttons/KPIsButton
5,4,738588.11:28:51.2554047,3,PersonalInfo/KPIsMain/TitleBar/Buttons/CloseButton
5,4,738588.11:28:58.6664575,4,Open: 290
5,4,738588.11:29:13.6303462,5,PersonalInfo/GeneralStationInfo/TitleBar/Buttons/CloseButtoon
5,4,738588.11:29:15.6765790,6,Open: 290
5,4,738588.11:29:20.1196157,7,PersonalInfo/GeneralStationInfo/Buttons/KPIsButton
5,4,738588.11:29:30.0762919,8,PersonalInfo/KPIsMain/Buttons/OEEButton
5,4,738588.11:30:28.1318998,9,PersonalInfo/KPIsSpecific/ShiftNumberSlider
5,4,738588.11:30:31.5121072,10,PersonalInfo/KPIsSpecific/ShiftNumberSlider
5,4,738588.11:30:42.9476691,11,PersonalInfo/KPIsSpecific/TitleBar/Buttons/CloseButton
5,4,738588.11:30:43.7111183,12,Open: 290
5,5,738588.11:30:46.8406431,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
5,5,738588.11:31:08.3008127,2,Open: 260
5,5,738588.11:31:25.6340274,3,PersonalInfo/GeneralStationInfo/TitleBar/Buttons/CloseButtoon
5,5,738588.11:31:29.0215696,4,Open: 260
5,5,738588.11:31:41.6222536,5,PersonalInfo/GeneralStationInfo/Buttons/KPIsButton
5,5,738588.11:31:47.9472537,6,PersonalInfo/KPIsMain/Buttons/PartCountButton
5,5,738588.11:31:57.3131484,7,PersonalInfo/KPIsSpecific/ShiftNumberSlider
5,5,738588.11:31:58.0366468,8,PersonalInfo/KPIsSpecific/ShiftNumberSlider
5,5,738588.11:31:58.4461479,9,PersonalInfo/KPIsSpecific/ShiftNumberSlider
5,5,738588.11:32:00.0698297,10,PersonalInfo/KPIsSpecific/ShiftNumberSlider
5,5,738588.11:32:01.5253189,11,PersonalInfo/KPIsSpecific/ShiftNumberSlider
5,5,738588.11:32:02.1663188,12,PersonalInfo/KPIsSpecific/ShiftNumberSlider
5,6,738588.11:33:30.5915856,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
6,2,738588.15:20:39.6254404,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
6,2,738588.15:20:49.8522523,2,Open: 260
6,2,738588.15:20:52.9421406,3,PersonalInfo/GeneralStationInfo/Buttons/KPIsButton
6,2,738588.15:21:06.5203799,4,PersonalInfo/KPIsMain/TitleBar/Buttons/CloseButton
6,3,738588.15:23:24.5479951,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
6,4,738588.15:23:42.9141531,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
6,4,738588.15:23:51.8498941,2,Open: 290
6,4,738588.15:23:54.4411864,3,PersonalInfo/GeneralStationInfo/Buttons/CycleTimesButton
6,4,738588.15:23:59.6839444,4,PersonalInfo/CycleTimesMain/TitleBar/Buttons/BackButton
6,4,738588.15:24:01.7539815,5,PersonalInfo/GeneralStationInfo/Buttons/KPIsButton
6,4,738588.15:24:03.3006410,6,PersonalInfo/KPIsMain/Buttons/OEEButton
6,4,738588.15:24:12.7799626,7,PersonalInfo/KPIsSpecific/ShiftNumberSlider
6,4,738588.15:24:39.9443654,8,PersonalInfo/KPIsSpecific/TitleBar/Buttons/CloseButton
6,5,738588.15:24:42.9003164,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
6,5,738588.15:24:59.9646223,2,Open: 260
