event,station,element,id,task,timestamp,lx,ly,vis_id,attr,value,vis-id,environment
show_cycle,290,icon,4,1,1678447123617,133.0,462.0,,,,,tablet
close_vis,290,icon,4,1,1678447129617,217.0,431.0,,,,,tablet
select_station,270,map,4,1,1678447130431,634.0,163.0,,,,,tablet
show_cycle,270,icon,4,1,1678447131035,133.0,459.0,,,,,tablet
close_vis,270,icon,4,1,1678447131816,221.0,432.0,,,,,tablet
select_station,260,map,4,1,1678447132409,219.0,292.0,,,,,tablet
show_cycle,260,icon,4,1,1678447132793,153.0,466.0,,,,,tablet
select_station,260,list,4,1,1678447142559,906.0,274.0,,,,,tablet
select_station,270,list,4,1,1678447144256,888.0,295.0,,,,,tablet
finish_task,-1,icon,4,1,1678447147764,1075.0,162.0,,,,,tablet
select_station,260,map,4,2,1678447152705,230.0,290.0,,,,,tablet
show_kpi,260,icon,4,2,1678447153319,85.0,455.0,,,,,tablet
finish_task,-1,icon,4,2,1678447177821,1073.0,186.0,,,,,tablet
select_station,270,map,4,3,1678447183982,623.0,182.0,,,,,tablet
show_kpi,270,icon,4,3,1678447185332,92.0,450.0,,,,,tablet
show_cycle,270,icon,4,3,1678447186774,149.0,534.0,,,,,tablet
close_vis,270,icon,4,3,1678447194408,213.0,437.0,,,,,tablet
select_station,270,list,4,3,1678447205452,1053.0,261.0,,,,,tablet
select_station,-1,list,4,3,1678447207180,1039.0,264.0,,,,,tablet
finish_task,-1,icon,4,3,1678447214303,1089.0,171.0,,,,,tablet
select_station,290,map,4,4,1678447224561,544.0,48.0,,,,,tablet
show_kpi,290,icon,4,4,1678447227011,73.0,472.0,,,,,tablet
select_attr,290,vis,4,4,1678447230268,146.0,136.0,1.0,oee,,,tablet
set_slider,290,vis,4,4,1678447236531,,,3.0,oee,11,,tablet
set_slider,290,vis,4,4,1678447240708,,,3.0,oee,10,,tablet
set_slider,290,vis,4,4,1678447244513,,,3.0,oee,14,,tablet
void_selection,290,vis,4,4,1678447252216,274.0,146.0,,,,3.0,tablet
finish_task,-1,icon,4,4,1678447257439,1083.0,171.0,,,,,tablet
select_station,260,map,4,5,1678447263626,218.0,295.0,,,,,tablet
show_kpi,260,icon,4,5,1678447265361,90.0,448.0,,,,,tablet
close_vis,260,icon,4,5,1678447269706,226.0,541.0,,,,,tablet
select_station,-1,map,4,5,1678447270337,226.0,293.0,,,,,tablet
show_kpi,-1,icon,4,5,1678447270708,94.0,457.0,,,,,tablet
show_kpi,-1,icon,4,5,1678447271765,85.0,464.0,,,,,tablet
show_kpi,-1,icon,4,5,1678447272568,78.0,468.0,,,,,tablet
select_station,260,map,4,5,1678447273207,214.0,312.0,,,,,tablet
show_kpi,260,icon,4,5,1678447273702,80.0,459.0,,,,,tablet
select_attr,260,vis,4,5,1678447280830,515.0,116.0,1.0,partCount,,,tablet
set_slider,260,vis,4,5,1678447285508,,,3.0,partCount,10,,tablet
finish_task,-1,icon,4,5,1678447305807,1081.0,201.0,,,,,tablet
start_evaluation,-1,page,5,1,1678448306891,,,,,,,tablet
finish_task,-1,icon,5,1,1678448324245,1077.0,178.0,,,,,tablet
select_station,-1,list,5,2,1678448328611,1101.0,260.0,,,,,tablet
show_filters,260,icon,5,2,1678448330074,64.0,410.0,,,,,tablet
show_kpi,260,icon,5,2,1678448331417,76.0,461.0,,,,,tablet
finish_task,-1,icon,5,2,1678448379322,1078.0,188.0,,,,,tablet
select_station,-1,list,5,3,1678448384579,1049.0,266.0,,,,,tablet
finish_task,-1,icon,5,3,1678448393696,1091.0,171.0,,,,,tablet
select_station,-1,list,5,4,1678448400566,1059.0,305.0,,,,,tablet
show_cycle,290,icon,5,4,1678448403645,141.0,465.0,,,,,tablet
show_kpi,290,icon,5,4,1678448404999,85.0,444.0,,,,,tablet
select_station,290,list,5,4,1678448413024,1080.0,307.0,,,,,tablet
select_station,-1,list,5,4,1678448413788,1075.0,307.0,,,,,tablet
show_kpi,290,icon,5,4,1678448414176,73.0,469.0,,,,,tablet
select_attr,290,vis,5,4,1678448417249,160.0,144.0,1.0,oee,,,tablet
set_slider,290,vis,5,4,1678448421109,,,3.0,oee,10,,tablet
set_slider,290,vis,5,4,1678448427621,,,3.0,oee,15,,tablet
set_slider,290,vis,5,4,1678448470653,,,3.0,oee,36,,tablet
